factor,spearman_ic_mean,spearman_ic_std,sample_bars
L1_momo,-0.03559236178249818,0.09575301255002303,5
L2_flow,-0.012435264782247732,0.04337333984642231,5
L3_confirm,-0.026462157119476477,0.07669834955428873,5
L4_oi,0.2111621735174988,0.03932999299485073,5
L5_cost,0.04713116676429283,0.09798729906280272,5
L6_rebound,-0.06133650618511769,0.04400233990222975,5
L7_candle,0.04856259151607001,0.08761150911548699,5
S1_crowd,-0.04903585409735976,0.10448876701833673,5
S2_whale_exit,0.011502151234898058,0.035772575486473855,5
S3_price_oi_div,-0.14157785670900397,0.10046052552389957,5
S4_activity_oi_div,-0.20062937638395478,0.027067476424901295,5
S5_upper_wick,0.036211943923845566,0.05824642563269875,5
