ts,side,symbol,score,real_top30_rank,ret_fwd_4h,max_drawdown_4h,is_hit_top30
2026-03-08 12:00:00+00:00,long,PLUMEUSDT,2.0079026938383016,-,0.019679300291545188,-0.015306122448979553,0
2026-03-08 12:00:00+00:00,long,RESOLVUSDT,1.9655865617775616,-,0.0019290123456789932,-0.0439814814814814,0
2026-03-08 12:00:00+00:00,long,DEGOUSDT,1.9088518817537214,-,-0.03703703703703687,-0.09962801229176776,0
2026-03-08 12:00:00+00:00,long,BANANAS31USDT,1.7330976769761417,-,-0.041849615806805796,-0.1861964873765094,0
2026-03-08 12:00:00+00:00,long,BABYUSDT,1.7248198601343345,1,0.18827160493827177,-0.03317901234567899,1
2026-03-08 12:00:00+00:00,short,RESOLVUSDT,2.334358797375143,-,0.0019290123456789932,-0.08892746913580263,0
2026-03-08 12:00:00+00:00,short,VVVUSDT,0.36907813064773975,2,-0.07092198581560283,-0.005572441742654588,1
2026-03-08 12:00:00+00:00,short,EDUUSDT,0.3518486029373601,-,0.015259409969481164,-0.0315361139369279,0
2026-03-08 16:00:00+00:00,long,BABYUSDT,2.2631588904932824,-,-0.0818181818181819,-0.08766233766233766,0
2026-03-08 16:00:00+00:00,long,SQDUSDT,1.7459671276797968,-,-0.03849721706864573,-0.05380333951762517,0
2026-03-08 16:00:00+00:00,long,PLUMEUSDT,1.4263638564290475,-,-0.04074338813438183,-0.04646175839885647,0
2026-03-08 16:00:00+00:00,long,SIGNUSDT,1.2565732297445524,-,-0.054652369422345304,-0.08682116914562443,0
2026-03-08 16:00:00+00:00,long,HUMAUSDT,1.1348715948561579,15,0.017207289050392705,-0.03510928231710586,1
2026-03-08 16:00:00+00:00,short,SQDUSDT,3.0,21,-0.03849721706864573,-0.026669758812615907,1
2026-03-08 16:00:00+00:00,short,DENTUSDT,0.09321782909002735,-,-0.009478672985781977,-0.018957345971563955,0
2026-03-08 16:00:00+00:00,short,FRAXUSDT,0.07489146387435172,-,0.000983767830792015,-0.016560091818330847,0
2026-03-08 20:00:00+00:00,long,MBOXUSDT,1.9238550669234176,4,0.1050814010853478,-0.04588061174148994,1
2026-03-08 20:00:00+00:00,long,ILVUSDT,1.6208643617536405,-,0.013907110994489713,-0.007609551298871642,0
2026-03-08 20:00:00+00:00,long,UMAUSDT,1.6116683093804738,-,0.027084314649081564,-0.010833725859632604,0
2026-03-08 20:00:00+00:00,long,LUNA2USDT,1.5045658348303148,-,-0.010549519760667647,-0.017792473626200622,0
2026-03-08 20:00:00+00:00,long,DEGOUSDT,1.4571282136365744,-,0.012008554038493102,-0.04737621319295948,0
2026-03-08 20:00:00+00:00,short,SIRENUSDT,2.3372729238818377,-,0.05665511547317248,-0.08344768239644629,0
2026-03-08 20:00:00+00:00,short,TRADOORUSDT,0.4330914245186184,-,0.012462908011869445,-0.01721068249258151,0
2026-03-08 20:00:00+00:00,short,FRAXUSDT,0.20731766008518754,-,0.015561015561015523,-0.02063882063882061,0
2026-03-09 00:00:00+00:00,long,MBOXUSDT,2.031825868015041,-,-0.16607142857142865,-0.17723214285714295,0
2026-03-09 00:00:00+00:00,long,DEXEUSDT,1.8755359986652798,14,0.0606823906572016,-0.04282115869017633,1
2026-03-09 00:00:00+00:00,long,ARIAUSDT,1.4006668563667104,3,0.18693561627770605,-0.012313826668230221,1
2026-03-09 00:00:00+00:00,long,NAORISUSDT,1.362001921302769,5,0.15111940298507465,-0.026918976545842188,1
2026-03-09 00:00:00+00:00,long,ONUSDT,1.1274644574866743,-,0.0028790786948176272,-0.010076775431861917,0
2026-03-09 00:00:00+00:00,short,BANANAUSDT,0.2221895139806149,9,-0.04233128834355826,-0.01145194274028638,1
2026-03-09 00:00:00+00:00,short,MBOXUSDT,-0.3660832968734769,1,-0.16607142857142865,-0.025892857142857162,1
2026-03-09 00:00:00+00:00,short,NAORISUSDT,-0.3660832968734769,-,0.15111940298507465,-0.16124733475479736,0
2026-03-09 04:00:00+00:00,long,ARIAUSDT,2.0407337122049545,-,-0.05868985278134575,-0.06619899219444714,0
2026-03-09 04:00:00+00:00,long,DENTUSDT,2.0007790808140213,-,-0.006896551724137945,-0.04137931034482767,0
2026-03-09 04:00:00+00:00,long,DEGOUSDT,1.8932436845764595,5,0.07189157336476137,-0.021508544490276837,1
2026-03-09 04:00:00+00:00,long,NAORISUSDT,1.6429438848324862,-,0.0020838156980782507,-0.04121324380643665,0
2026-03-09 04:00:00+00:00,long,CYSUSDT,1.5022161049013416,10,0.05300424843212603,-0.04835120372243584,1
2026-03-09 04:00:00+00:00,short,NAORISUSDT,-0.2167916740836015,-,0.0020838156980782507,-0.05765223431349842,0
2026-03-09 04:00:00+00:00,short,DEGOUSDT,-0.2167916740836015,-,0.07189157336476137,-0.156894519740719,0
2026-03-09 04:00:00+00:00,short,TRADOORUSDT,-0.2167916740836015,-,0.0005574136008918984,-0.0033444816053511683,0
2026-03-09 08:00:00+00:00,long,DEGOUSDT,1.8484954227699626,-,-0.012094557449147891,-0.06899395272127551,0
2026-03-09 08:00:00+00:00,long,CYSUSDT,1.6254282510107148,-,-0.08856868395773287,-0.09010566762728134,0
2026-03-09 08:00:00+00:00,long,FLOWUSDT,1.4366096988699473,27,0.04069640914037009,-0.019804134929271022,1
2026-03-09 08:00:00+00:00,long,DENTUSDT,1.2615700948215094,-,-0.04513888888888884,-0.06944444444444442,0
2026-03-09 08:00:00+00:00,long,NAORISUSDT,1.2342650108893278,-,0.017791127541589624,-0.03211645101663596,0
2026-03-09 08:00:00+00:00,short,B3USDT,3.0,25,-0.01498929336188426,-0.01177730192719495,1
2026-03-09 08:00:00+00:00,short,BRUSDT,1.641899715597572,-,0.002584350323043827,-0.04091888011485989,0
2026-03-09 08:00:00+00:00,short,COWUSDT,0.6003845490661701,-,0.016853932584269815,-0.02203975799481417,0
