ts,side,symbol,score,real_top30_rank,ret_fwd_4h,max_drawdown_4h,is_hit_top30
2026-03-06 00:00:00+00:00,long,SIGNUSDT,2.2690515829318447,-,0.022101841820151735,-0.011700975081256781,0
2026-03-06 00:00:00+00:00,long,ANKRUSDT,2.2510601705469964,-,-0.004596740493104989,-0.02799832845800254,0
2026-03-06 00:00:00+00:00,long,UAIUSDT,1.8254086513827898,1,0.208699289000418,-0.0644081974069427,1
2026-03-06 00:00:00+00:00,long,FHEUSDT,1.2021443778850522,-,-0.03186605455036462,-0.08101539292465576,0
2026-03-06 00:00:00+00:00,long,PLUMEUSDT,1.1400887774405541,7,0.058768656716417844,-0.01585820895522383,1
2026-03-06 00:00:00+00:00,short,PIXELUSDT,0.2219478443564894,8,-0.04929208180388045,-0.01782905086523323,1
2026-03-06 04:00:00+00:00,long,UAIUSDT,2.265080091228546,12,0.03356401384083063,-0.031141868512110538,1
2026-03-06 04:00:00+00:00,long,SIGNUSDT,1.8323230206573495,6,0.05723977104091582,-0.012931948272206895,1
2026-03-06 04:00:00+00:00,long,AGLDUSDT,1.6135394934548262,-,-0.08825459317585316,-0.09284776902887137,0
2026-03-06 04:00:00+00:00,long,ANKRUSDT,1.6131233374433787,-,-0.06297229219143574,-0.06528127623845503,0
2026-03-06 04:00:00+00:00,long,APRUSDT,1.5518867102660447,15,0.03091314031180392,-0.00579064587973277,1
2026-03-06 04:00:00+00:00,short,HFTUSDT,0.2715374561403901,-,-0.017823042647994836,-0.00445576066199882,0
2026-03-06 04:00:00+00:00,short,INITUSDT,-0.11724948332124752,-,-0.026004728132387744,-0.007317347742879621,0
2026-03-06 08:00:00+00:00,long,FLOWUSDT,2.236952111541731,-,-0.01811224489795904,-0.022193877551020313,0
2026-03-06 08:00:00+00:00,long,SIGNUSDT,2.2109448401721328,-,-0.03388810908361739,-0.0457188690595548,0
2026-03-06 08:00:00+00:00,long,UAIUSDT,2.06681587075864,6,0.056913290927351756,-0.03716103113491798,1
2026-03-06 08:00:00+00:00,long,BEATUSDT,1.838222061088536,7,0.05530832803560082,-0.03305785123966931,1
2026-03-06 08:00:00+00:00,long,APRUSDT,1.408948884785214,-,-0.012789491876944448,-0.03577601106118222,0
2026-03-06 08:00:00+00:00,short,SIGNUSDT,0.3315192585665063,-,-0.03388810908361739,-0.06436735512332081,0
2026-03-06 12:00:00+00:00,long,UAIUSDT,2.2573782488143825,2,0.10389610389610393,-0.010136205258156394,1
2026-03-06 12:00:00+00:00,long,BEATUSDT,2.0643097634219103,28,0.025903614457831292,-0.05813253012048203,1
2026-03-06 12:00:00+00:00,long,SIGNUSDT,1.6081270330439854,-,0.021378165213781664,-0.0031133250311331517,0
2026-03-06 12:00:00+00:00,long,BANANAS31USDT,1.5770257367349294,1,0.11114893617021271,-0.012085106382978661,1
2026-03-06 12:00:00+00:00,long,FLOWUSDT,1.5625068623930032,-,0.008573655494933607,-0.014029618082619044,0
2026-03-06 12:00:00+00:00,short,HUSDT,2.404986811793409,2,-0.060387323943661975,-0.0058098591549295975,1
2026-03-06 16:00:00+00:00,long,UAIUSDT,2.3113485934459477,-,0.0163558106169297,-0.04418938307030118,0
2026-03-06 16:00:00+00:00,long,BANANAS31USDT,1.910964055128006,-,-0.038143382352941235,-0.03952205882352933,0
2026-03-06 16:00:00+00:00,long,SIGNUSDT,1.8285705291567607,-,-0.0392196707986181,-0.05954074375126994,0
2026-03-06 16:00:00+00:00,long,BEATUSDT,1.6659398173124527,-,0.012331180270111597,-0.022019964768056344,0
2026-03-06 16:00:00+00:00,long,FLOWUSDT,1.5452540996487456,1,0.13472436888201944,-0.0028335909325090114,1
2026-03-06 16:00:00+00:00,short,ICNTUSDT,2.398026330465759,-,-0.008807801195344522,-0.007234979553318643,0
2026-03-06 20:00:00+00:00,long,FLOWUSDT,2.3179968178664505,-,,,0
2026-03-06 20:00:00+00:00,long,UAIUSDT,1.8584129106429716,-,,,0
2026-03-06 20:00:00+00:00,long,ANKRUSDT,1.6756751468536326,-,,,0
2026-03-06 20:00:00+00:00,long,BEATUSDT,1.4235234987750096,-,,,0
2026-03-06 20:00:00+00:00,long,SIGNUSDT,1.2263566884254715,-,,,0
2026-03-06 20:00:00+00:00,short,UAIUSDT,0.300658783381298,-,,,0
2026-03-06 20:00:00+00:00,short,TAKEUSDT,-0.23545021878117306,-,,,0
