factor,spearman_ic_mean,spearman_ic_std,sample_bars
L1_momo,-0.003971978145573804,0.1303681451037326,12
L2_flow,0.030764967976024595,0.11297553109935328,12
L3_confirm,0.0075289003402437245,0.1041852140191343,12
L4_oi,0.16937157884142695,0.13699012791289475,12
L5_cost,-0.03917792309941307,0.14133096758733063,12
L6_rebound,-0.04529445836889771,0.13152647087394562,12
L7_candle,-0.030961321196380714,0.09821030520051338,12
S1_crowd,0.03889913480546224,0.1454073710409717,12
S2_whale_exit,0.029396647214938634,0.08923467656743055,12
S3_price_oi_div,-0.10767017547604156,0.08842131023806502,12
S4_activity_oi_div,-0.15085460020800615,0.12029568334400167,12
S5_upper_wick,0.016491151642693765,0.0945162334830795,12
